"credit_card_number","gender","occupation","transaction_hour","total_transactions","total_spent","average_transaction_value","fraud_transactions"
"343819048608995","F","Wellsite geologist","21","35","1812.93","51.798","0"
"4364010865167176","M","Immunologist","21","212","8002.78","37.74896226415094","0"
"4587657402165341815","F","Psychotherapist, child","21","192","15894.67","82.78473958333333","0"
"3535808924394848","M","Radio broadcast assistant","21","61","5972.4400000000005","97.9088524590164","0"
"344709867813900","F","Environmental consultant","21","185","11669.880000000001","63.08043243243244","0"
"213180742685905","F","Therapist, occupational","21","94","4814.09","51.21372340425532","0"
"2222157926772399","F","Investment banker, operational","21","33","1545.1200000000001","46.82181818181819","0"
"6011348830550197","M","Musician","21","166","9260.1","55.783734939759036","0"
"3521815216091574","M","Mental health nurse","21","77","8638.72","112.19116883116882","0"
"4634955908138648","F","Engineer, automotive","21","121","7271.909999999999","60.09842975206611","0"
"503848303379","M","Sport and exercise psychologist","21","93","7706.65","82.86720430107526","0"
"4155021259183870","F","Research scientist (life sciences)","21","111","4241.89","38.215225225225225","0"
"4292743669224718067","M","Art therapist","21","93","4454.52","47.89806451612904","0"
"373043435942726","M","Trading standards officer","21","45","3785.17","84.11488888888888","0"
"30270432095985","F","Environmental consultant","21","174","10287.780000000002","59.125172413793116","0"
"4710826438164847414","M","Further education lecturer","21","53","2531.83","47.77037735849056","0"
"376028110684021","M","Tourist information centre manager","21","79","10564.86","133.73240506329114","0"
"180036456789979","F","Risk analyst","21","138","10290.679999999998","74.57014492753622","0"
"6515067575568369","M","Land/geomatics surveyor","21","36","1092.66","30.35166666666667","0"
"3586008444788268","F","Osteopath","21","173","11506.65","66.51242774566474","0"
"4147608975828480","M","Health and safety adviser","21","86","5169.5","60.11046511627907","1"
"4642894980163","M","IT trainer","21","118","4631.19","39.24737288135593","0"
"4961003488432306","F","Ecologist","21","56","2594.35","46.32767857142857","0"
"38544312728630","F","Claims inspector/assessor","21","24","2036.4299999999998","84.85125","0"
"4683520018489354","M","Editor, magazine features","21","81","5635.000000000002","69.56790123456793","1"
"30029052116970","M","Metallurgist","21","113","7198.6900000000005","63.70522123893806","0"
"3546897637165774","F","Barrister","21","80","4484.72","56.059000000000005","0"
"503874407318","M","Exhibition designer","22","166","9357.730000000001","56.371867469879525","2"
"4878364946692291","F","Pilot, airline","22","18","1769.6599999999999","98.31444444444443","1"
"4026222041577","F","Broadcast presenter","22","32","4068.35","127.1359375","0"
"6011388901471808","F","Mining engineer","22","80","5102.53","63.781625","1"
"376656886990758","M","Designer, jewellery","22","87","4099.7","47.122988505747124","0"
"4689147265057948423","M","Human resources officer","22","58","3175.2000000000007","54.74482758620691","0"
"4497913965512794052","M","Hospital doctor","22","34","5143.74","151.2864705882353","4"
"4760122961662","M","Curator","22","25","3879.0299999999997","155.16119999999998","3"
"4070511711385545","F","Engineer, mining","22","36","2720.6","75.57222222222222","2"
"4319584480204988982","F","Chief Financial Officer","22","80","6078.2","75.97749999999999","3"
"3565996340207976","M","Market researcher","22","40","4193.61","104.84025","3"
"2242542703101233","M","Pensions consultant","22","207","18710.51","90.38893719806762","4"
"3586955669388457","M","Administrator, local government","22","46","5427.0599999999995","117.9795652173913","0"
"4642894980163","M","IT trainer","22","114","7749.21","67.97552631578948","5"
"4933461930348832","M","Chemical engineer","22","60","7215.94","120.26566666666666","4"
"4048508450704760","F","Surveyor, mining","22","100","7336.59","73.3659","5"
"6515067575568369","M","Land/geomatics surveyor","22","32","1789.02","55.906875","0"
"180047222886866","F","English as a foreign language teacher","22","33","1323.1","40.093939393939394","2"
"4585132874641","F","Land/geomatics surveyor","22","97","4051.0600000000004","41.76350515463918","1"
"6011367958204270","F","Medical sales representative","22","201","14213.179999999997","70.71233830845769","0"
"3556613125071656","M","Futures trader","22","176","8854.09","50.30732954545454","3"
"213120463918358","M","Psychologist, forensic","22","41","2346.6400000000003","57.23512195121952","0"
"3590736522064285","F","Scientist, audiological","22","179","13731.26","76.7109497206704","1"
"4890424426862856940","M","Magazine features editor","22","80","3544.67","44.308375","0"
"4635330563105903","F","Chartered accountant","22","63","3549.57","56.34238095238096","3"
"4158945090781624","M","Scientist, marine","23","129","7609.09","58.985193798449615","0"
"340951438290556","F","Records manager","23","107","10499.899999999998","98.12990654205605","3"
"4797297220948468262","F","Counsellor","23","158","6588.429999999999","41.698924050632904","0"
"6011104316292105","F","Energy engineer","23","157","6020.530000000001","38.34732484076434","0"
"374497717543058","F","Designer, ceramics/pottery","23","75","4203.82","56.050933333333326","0"
"676314217768","F","Clinical research associate","23","30","1864.9199999999998","62.163999999999994","0"
"4509142395811241","F","Engineer, technical sales","23","92","5407.49","58.7770652173913","0"
"3523843138706408","F","Drilling engineer","23","110","4907.4","44.61272727272727","2"
"30266994494236","F","Chief Operating Officer","23","86","3958.6499999999996","46.03081395348837","0"
"4600155880464","M","Administrator, arts","23","23","2573.24","111.88","1"
"4147608975828480","M","Health and safety adviser","23","79","4337.06","54.89949367088608","1"
"4424338559877976","F","Private music teacher","23","91","10220.94","112.31802197802199","9"
"213102873001603","F","Engineer, maintenance","23","56","3441.8599999999997","61.46178571428571","1"
"38052002992326","F","Building surveyor","23","180","9666.990000000002","53.70550000000001","4"
"6534628260579800","F","Claims inspector/assessor","23","192","9681.309999999998","50.42348958333332","2"
"213178765398315","M","Lecturer, higher education","23","114","6040.110000000001","52.983421052631584","2"
"30404291151692","F","Ambulance person","23","65","4836.4800000000005","74.40738461538463","2"
"6538441737335434","F","Energy manager","23","187","13705.31","73.29042780748662","0"
"4951647200979051","F","Scientist, research (physical sciences)","23","113","4951.77","43.82097345132744","2"
"4208110975550360171","M","Audiological scientist","23","51","7913.490000000001","155.1664705882353","4"
"3506592072985012","M","Engineer, communications","23","118","8262.29","70.01940677966103","0"
"30376238035123","F","Retail merchandiser","23","52","4857.929999999999","93.42173076923076","4"
"213173753804333","M","Doctor, general practice","23","52","6249.16","120.17615384615384","4"
"30150717898388","M","Paediatric nurse","23","71","4251.299999999999","59.87746478873238","2"
"3511378610369890","M","Television production assistant","23","139","8058.210000000003","57.97273381294966","2"
"3504178999463051","M","Copywriter, advertising","23","80","4431.47","55.393375000000006","1"
"4839615922685395","M","Social researcher","23","86","7671.9000000000015","89.20813953488374","5"
"6538891242532018","F","Engineer, control and instrumentation","23","184","14531.469999999998","78.9753804347826","3"
"4457732997086323466","M","Immigration officer","23","94","12559.93","133.6162765957447","3"
"4862293128558","F","Pension scheme manager","23","93","3846.6499999999996","41.361827956989245","3"
"180067784565096","F","Applications developer","23","81","4744.43","58.57320987654322","2"
"4792627764422477317","F","Chief Executive Officer","23","205","13603.73","66.35965853658536","0"
"6011438889172900","F","Electrical engineer","23","176","14184.009999999998","80.5909659090909","3"
"4178097073221156","F","Horticulturist, commercial","23","93","6806.74","73.19075268817204","0"
"4806443445305","M","Geochemist","23","45","5990.61","133.12466666666666","3"
"630423337322","F","Special educational needs teacher","23","151","6745.500000000001","44.672185430463585","0"
"377026671291680","F","Investment analyst","23","149","6813.079999999999","45.72536912751677","0"
"4410582919485061752","M","Therapist, occupational","23","37","2165.9700000000003","58.539729729729736","0"
"4488941175228467","F","Private music teacher","23","63","4762.83","75.60047619047619","2"
"4344955088481397","M","Communications engineer","23","64","5440.0","85.0","0"
"4302475216404898","M","Community pharmacist","0","89","3896.0499999999993","43.775842696629205","1"
"2283743876903625","F","Prison officer","0","63","3364.9700000000003","53.412222222222226","2"
"3576431665303017","F","Contractor","0","75","9681.970000000001","129.09293333333335","0"
"4427805710168","F","Licensed conveyancer","0","27","1492.56","55.28","0"
"342952484382519","F","Comptroller","0","80","5252.34","65.65425","0"
"4424338559877976","F","Private music teacher","0","85","7376.759999999999","86.78541176470587","0"
"30082025922891","F","Pilot, airline","0","82","4724.76","57.61902439024391","0"
"6517217825320610","M","Librarian, academic","0","101","6654.85","65.88960396039604","1"
"4505383113689","F","Quantity surveyor","0","48","2828.6000000000004","58.929166666666674","0"
"581293083266","M","Podiatrist","0","64","5744.67","89.76046875","2"
"3591919803438423","M","Set designer","0","46","3410.0099999999998","74.13065217391303","0"
"4079773899158","M","Cartographer","0","85","8305.58","97.71270588235294","2"
"4681601008538160","F","Physiotherapist","0","57","6267.030000000001","109.94789473684212","0"
"4826655832045236","F","Counselling psychologist","0","94","6605.42","70.2704255319149","1"
"30551643947183","F","Toxicologist","0","65","9420.829999999998","144.93584615384611","0"
"378278619832195","F","Scientist, physiological","0","84","4999.759999999999","59.52095238095237","2"
"4969856774088583","F","Advertising account planner","0","61","4111.8","67.40655737704918","0"
"213175487106448","F","Physicist, medical","0","62","3924.5199999999995","63.298709677419346","0"
"4681699462969","M","Journalist, newspaper","0","66","3737.66","56.631212121212116","1"
"4957924165498","M","Network engineer","0","36","2004.1299999999999","55.67027777777778","2"
"3568255211412877","M","Biomedical engineer","0","59","2932.6200000000003","49.705423728813564","0"
"372509258176510","F","Learning disability nurse","1","89","11386.84","127.94202247191011","1"
"6011305591981276","M","Engineer, automotive","1","53","3479.91","65.65867924528301","1"
"4958589671582726883","M","Health visitor","1","76","4917.83","64.7082894736842","0"
"4006047418382","M","Designer, industrial/product","1","47","2942.67","62.61","1"
"4957924165498","M","Network engineer","1","39","3053.1","78.28461538461538","0"
"36722699017270","F","Petroleum engineer","1","91","11773.990000000003","129.38450549450553","0"
"180046765320457","M","Building control surveyor","1","40","2505.3100000000004","62.63275000000001","1"
"30518206766474","F","Aeronautical engineer","1","37","2397.04","64.78486486486486","0"
"3523898249167098","M","Therapist, drama","1","59","3148.27","53.36050847457627","1"
"4736845434667908128","F","Surveyor, land/geomatics","1","76","4388.3","57.74078947368421","1"
"38859492057661","M","Nature conservation officer","1","32","1734.4500000000003","54.20156250000001","0"
"676298633337","F","Chief Executive Officer","1","42","3549.6","84.5142857142857","1"
"213174467670432","M","Podiatrist","1","71","4678.87","65.89957746478873","2"
"4060579726528237","M","Theatre director","1","78","5998.46","76.90333333333334","1"
"375848982312810","M","Web designer","1","64","3180.3300000000004","49.692656250000006","1"
"4745996322265","F","Psychologist, forensic","1","48","2645.0299999999997","55.104791666666664","1"
"3511378610369890","M","Television production assistant","1","69","3948.19","57.22014492753623","1"
"30199621383748","F","Sub","1","69","7921.429999999999","114.80333333333333","0"
"375767678113375","M","Waste management officer","1","78","4866.7300000000005","62.39397435897437","0"
"3545109339866548","M","Chartered public finance accountant","1","49","2651.08","54.10367346938775","0"
"377550167323848","M","Tourist information centre manager","1","49","4675.24","95.4130612244898","0"
"4939976756738216","F","IT trainer","1","86","8199.67","95.345","0"
"344709867813900","F","Environmental consultant","1","84","9066.18","107.93071428571429","1"
"3598215285024754","F","Librarian, public","1","68","9584.580000000002","140.94970588235296","2"
"4471568287204","M","Insurance underwriter","1","59","3061.09","51.882881355932206","0"
"4092452671396169678","M","Engineer, biomedical","1","92","6077.36","66.05826086956522","0"
"213112402583773","F","Research scientist (physical sciences)","1","80","6494.429999999999","81.180375","0"
"4481131401752","M","English as a second language teacher","1","26","1474.95","56.728846153846156","0"
"4119762878330989","F","Archivist","2","60","3929.59","65.49316666666667","0"
"180069253480336","M","Public affairs consultant","2","51","6095.679999999999","119.52313725490195","1"
"30175986190993","F","Applications developer","2","91","6641.790000000001","72.98670329670331","3"
"501831082224","M","Armed forces logistics/support/administrative officer","2","42","4099.179999999999","97.59952380952379","2"
"6011860238257910","F","Programme researcher, broadcasting/film/video","2","104","7425.82","71.40211538461539","0"
"4040099974063068803","M","Administrator","2","56","5231.26","93.41535714285715","2"
"6011492816282597","M","Financial adviser","2","40","2215.3500000000004","55.383750000000006","0"
"4383521454815","M","Academic librarian","2","35","1896.5700000000002","54.18771428571429","0"
"2285066385084291","M","Exhibitions officer, museum/gallery","2","25","1310.97","52.4388","1"
"4855488158131690372","M","Agricultural consultant","2","78","7000.71","89.75269230769231","0"
"3545109339866548","M","Chartered public finance accountant","2","54","3196.4400000000005","59.19333333333334","0"
"675909898057","M","Television/film/video producer","2","41","2760.25","67.32317073170732","2"
"3560797065840735","F","Film/video editor","2","92","8999.22","97.81760869565217","2"
"213113028819344","F","Building control surveyor","2","50","2733.53","54.67060000000001","1"
"341542810616333","M","Colour technologist","2","38","3514.5199999999995","92.48736842105262","0"
"4060579726528237","M","Theatre director","2","81","5908.65","72.9462962962963","1"
"213175487106448","F","Physicist, medical","2","58","5382.27","92.79775862068966","1"
"36913587729122","F","Intelligence analyst","2","70","7304.430000000001","104.34900000000002","0"
"213153151785052","F","Seismic interpreter","2","25","1422.43","56.897200000000005","0"
"4716561796955522","F","Water engineer","2","58","4064.37","70.0753448275862","0"
"4666314527820883145","M","Solicitor, Scotland","2","20","1683.7","84.185","1"
"370612217861404","F","Administrator, charities/voluntary organisations","2","44","5120.969999999999","116.38568181818181","0"
"3500969075198072","M","Clothing/textile technologist","2","36","2035.8299999999997","56.55083333333332","1"
"2719496466799416","F","Hospital pharmacist","2","54","2847.6000000000004","52.73333333333334","0"
"4025612008285111","F","Maintenance engineer","2","62","4751.82","76.64225806451613","1"
"374930071163758","M","Police officer","2","73","3765.61","51.583698630136986","3"
"630471368021","M","Designer, interior/spatial","2","19","1591.8600000000001","83.7821052631579","1"
"4464457352619","F","Television production assistant","2","70","5133.639999999999","73.33771428571428","0"
"3585052663373890","M","Science writer","2","40","3527.33","88.18325","0"
"3540210836308425","M","Fisheries officer","2","57","4576.4400000000005","80.28842105263159","0"
"373905417449658","F","Phytotherapist","2","75","10066.52","134.22026666666667","3"
"213107169859697","F","Insurance broker","2","10","877.9000000000001","87.79","0"
"4149635823017","M","Aid worker","2","46","2889.3500000000004","62.81195652173914","2"
"343464013864032","F","Call centre manager","2","79","5270.85","66.71962025316456","0"
"3565196229855512","F","Investment banker, corporate","2","43","2350.4100000000003","54.660697674418614","0"
"3556613125071656","M","Futures trader","2","36","2471.2700000000004","68.64638888888891","1"
"3502377050801561","F","Scientist, biomedical","2","86","5237.24","60.89813953488372","1"
"4900628639996","M","Firefighter","2","70","4117.870000000001","58.826714285714296","3"
"2260801330657968","F","Accounting technician","2","26","3923.52","150.9046153846154","1"
"30150717898388","M","Paediatric nurse","2","60","4790.4400000000005","79.84066666666668","0"
"340951438290556","F","Records manager","2","47","6274.909999999999","133.5087234042553","1"
"180042946491150","M","Engineer, land","3","54","2974.8399999999997","55.08962962962963","0"
"6011197122270059","M","Field seismologist","3","14","2551.61","182.25785714285715","3"
"3576021480694169","F","Secondary school teacher","3","46","2974.03","64.65282608695652","3"
"630425673344","M","Special effects artist","3","68","4152.12","61.06058823529412","1"
"675909898057","M","Television/film/video producer","3","54","5782.400000000001","107.08148148148149","1"
"4769426683924058915","F","Mining engineer","3","86","5630.82","65.47465116279069","0"
"30266994494236","F","Chief Operating Officer","3","39","2437.2900000000004","62.49461538461539","0"
"213161293389774","F","Teacher, primary school","3","61","4642.959999999999","76.11409836065572","0"
"4951647200979051","F","Scientist, research (physical sciences)","3","61","4631.88","75.93245901639344","2"
"3533800906065217","F","Surveyor, minerals","3","57","3141.55","55.11491228070176","0"
"4658490815480264","F","Systems developer","3","91","5855.610000000001","64.34736263736265","0"
"3502377050801561","F","Scientist, biomedical","3","76","4368.049999999999","57.47434210526315","0"
"4365382885912355","M","Horticultural therapist","3","28","2399.48","85.69571428571429","0"
"30199621383748","F","Sub","3","69","8044.179999999999","116.5823188405797","0"
"3577596616955856","M","Buyer, industrial","3","24","975.7000000000002","40.654166666666676","1"
"30230540139182","M","Orthoptist","3","54","4294.530000000001","79.52833333333335","0"
"3576511691045060","F","Engineer, materials","3","14","816.83","58.345000000000006","0"
"30360260465747","F","Presenter, broadcasting","3","21","1669.43","79.49666666666667","1"
"3598895972308782","M","Copy","3","24","1530.86","63.78583333333333","2"
"3599237318576484","F","Insurance risk surveyor","3","48","3650.96","76.06166666666667","1"
"2229824890647120","M","Therapist, occupational","3","17","953.09","56.06411764705882","0"
"4428780983793657331","M","Therapist, occupational","3","63","5038.370000000001","79.974126984127","0"
"6554245334757802","F","Sales executive","3","81","5095.33","62.90530864197531","0"
"2260801330657968","F","Accounting technician","3","24","1468.81","61.20041666666666","0"
"4518350514020532","M","Teaching laboratory technician","3","30","1297.3","43.24333333333333","0"
"213199865312311","M","Pensions consultant","3","70","5334.510000000001","76.20728571428573","0"
"36485887555770","M","Facilities manager","3","33","1563.95","47.39242424242424","0"
"503848303379","M","Sport and exercise psychologist","3","29","1853.03","63.89758620689655","0"
"2254917871818484","F","Insurance underwriter","3","69","5146.579999999999","74.58811594202898","0"
"4973530368125489546","F","Musician","3","58","3225.56","55.61310344827586","1"
"2720012583106919","M","Volunteer coordinator","3","87","7554.78","86.83655172413793","0"
"4277232699798846","F","Illustrator","3","71","5346.58","75.30394366197183","0"
"4451952084362894","M","Petroleum engineer","3","85","7083.83","83.33917647058823","0"
"4488258847705225890","F","Chemical engineer","3","75","6877.199999999999","91.69599999999998","0"
"30570197515105","M","Jewellery designer","3","24","1880.4","78.35000000000001","0"
"30118423745458","M","Drilling engineer","4","51","3039.1500000000005","59.591176470588245","0"
"180031190491743","F","Surveyor, land/geomatics","4","65","6256.879999999999","96.25969230769229","0"
"4518350514020532","M","Teaching laboratory technician","4","29","1723.2499999999998","59.42241379310344","0"
"30376238035123","F","Retail merchandiser","4","43","3750.6599999999994","87.22465116279068","0"
"4254074738931278","M","Radio producer","4","44","2584.26","58.733181818181826","0"
"502049568400","M","Health service manager","4","51","4402.03","86.3143137254902","0"
"4364010865167176","M","Immunologist","4","55","3091.17","56.20309090909091","0"
"36721445180895","M","Diagnostic radiographer","4","65","5482.6900000000005","84.34907692307694","0"
"6011438889172900","F","Electrical engineer","4","87","10650.85","122.42356321839081","1"
"4428780983793657331","M","Therapist, occupational","4","45","2960.7","65.79333333333332","0"
"4128730454058057622","F","Engineer, production","4","84","6069.719999999999","72.25857142857141","0"
"3525668150756629","M","Film/video editor","4","51","4195.48","82.26431372549018","0"
"4476840372112","M","Editor, commissioning","4","41","2216.3","54.056097560975616","0"
"4671727014157745","M","Retail banker","4","106","8015.34","75.61641509433963","0"
"38295635583927","F","Warden/ranger","4","56","3723.39","66.48910714285714","0"
"4134456652433447","M","Production manager","4","38","1802.7599999999998","47.44105263157894","0"
"4173950183554608","M","Health promotion specialist","4","58","3646.82","62.87620689655173","0"
"5580563567307107","M","Charity fundraiser","4","50","4266.79","85.3358","0"
"3591919803438423","M","Set designer","4","43","2570.8700000000003","59.78767441860466","0"
"6596735789587928","M","Licensed conveyancer","4","53","3081.31","58.13792452830189","0"
"4980323467523543940","M","Structural engineer","4","21","1078.57","51.360476190476184","0"
"4939976756738216","F","IT trainer","4","85","9830.32","115.65082352941177","0"
"4841313716651064","M","Development worker, community","4","67","5714.86","85.29641791044776","0"
"567868110212","F","Copywriter, advertising","4","66","7762.040000000001","117.60666666666668","0"
"349612764943496","M","Psychologist, forensic","4","52","4311.37","82.91096153846154","1"
"501882822387","F","Therapist, horticultural","4","24","1779.6400000000003","74.15166666666669","0"
"38580485618059","F","Industrial/product designer","4","98","6254.910000000001","63.82561224489797","0"
"345832460465610","M","Production engineer","4","72","3836.27","53.281527777777775","1"
"372382441451095","M","Heritage manager","4","71","4683.15","65.95985915492957","0"
"6011681934117244","F","Prison officer","4","41","2584.17","63.028536585365856","0"
"30364087349027","M","Fitness centre manager","4","31","1782.56","57.501935483870966","0"
"3599237318576484","F","Insurance risk surveyor","4","40","2986.12","74.65299999999999","0"
"503874407318","M","Exhibition designer","4","62","3697.0899999999992","59.63048387096773","0"
"4092452671396169678","M","Engineer, biomedical","5","89","8682.57","97.55696629213483","0"
"30328384440870","F","Cytogeneticist","5","62","3955.62","63.80032258064516","0"
"630424987505","F","Forensic psychologist","5","84","5645.539999999999","67.2088095238095","0"
"6524376634971418","F","Engineer, aeronautical","5","40","2491.0099999999998","62.27524999999999","0"
"30518196150127","F","Buyer, retail","5","17","989.5999999999999","58.211764705882345","0"
"180084576295055","M","Archaeologist","5","63","4929.01","78.23825396825397","0"
"4584931703207308232","F","Designer, ceramics/pottery","5","43","4656.17","108.28302325581396","0"
"6011999606625827","M","Radiographer, diagnostic","5","88","4784.860000000001","54.3734090909091","0"
"38530489946071","F","Animal technologist","5","51","3717.8299999999995","72.89862745098038","0"
"3585740823295298","M","Librarian, public","5","32","1879.5699999999997","58.73656249999999","0"
"4990494243023","M","Energy engineer","5","87","8964.770000000002","103.04333333333336","1"
"4800395067176717","M","Research scientist (maths)","5","62","4384.6","70.71935483870968","0"
"3521815216091574","M","Mental health nurse","5","56","4625.24","82.59357142857142","0"
"3501509250702469","M","Programme researcher, broadcasting/film/video","5","56","3151.12","56.269999999999996","0"
"3525590521269779","M","Paramedic","5","62","3444.8","55.561290322580646","0"
"6539653032686894","M","Soil scientist","5","23","1530.1100000000001","66.52652173913044","0"
"3526826139003047","M","Furniture designer","5","89","8237.74","92.55887640449438","0"
"676309913934","M","Further education lecturer","5","24","1333.2800000000002","55.55333333333334","0"
"3577596616955856","M","Buyer, industrial","5","28","1587.2300000000002","56.686785714285726","0"
"4607072969078276","F","Amenity horticulturist","5","32","2297.85","71.8078125","0"
"6011626928491360","F","Senior tax professional/tax inspector","5","49","4560.92","93.08","1"
"213113338379864","M","Science writer","5","24","2392.3","99.67916666666667","0"
"6011693194885790","F","Lecturer, further education","5","46","2611.84","56.77913043478261","0"
"4265776278887457","F","Physicist, medical","5","86","6339.92","73.72","0"
"6592861994408652","F","Colour technologist","5","38","2362.2599999999998","62.164736842105256","0"
"2254917871818484","F","Insurance underwriter","5","87","6961.65","80.01896551724137","0"
"3585052663373890","M","Science writer","5","44","3708.4100000000003","84.28204545454547","0"
"3564182536169293","F","Research scientist (medical)","5","43","2592.16","60.282790697674415","0"
"4294930380592","F","Equality and diversity officer","5","91","6689.020000000001","73.5057142857143","0"
"4658490815480264","F","Systems developer","5","96","9165.29","95.47177083333334","0"
"2248735346244816","M","Product/process development scientist","5","86","7167.249999999999","83.34011627906976","0"
"4653879239169997","F","Therapist, sports","5","42","2442.28","58.149523809523814","0"
"30273037698427","M","Careers information officer","5","53","2561.5","48.33018867924528","0"
"30150717898388","M","Paediatric nurse","5","65","5699.92","87.69107692307692","0"
"4147608975828480","M","Health and safety adviser","6","88","4490.1900000000005","51.02488636363637","0"
"3565943051129759","M","Medical secretary","6","31","1565.3300000000002","50.49451612903226","0"
"340951438290556","F","Records manager","6","49","5190.33","105.92510204081633","0"
"2475085306462014","M","Land/geomatics surveyor","6","51","4483.94","87.92039215686273","0"
"4859525594182537","F","Psychotherapist, child","6","27","1723.0900000000001","63.818148148148154","0"
"343668971234893","F","Chiropodist","6","84","5338.97","63.55916666666667","0"
"4208110975550360171","M","Audiological scientist","6","53","4636.639999999999","87.48377358490565","0"
"2274911989136158","M","Materials engineer","6","27","1100.12","40.74518518518518","0"
"3541687240161491","M","Engineer, structural","6","31","1467.35","47.33387096774193","1"
"568279015842","M","Television floor manager","6","39","3172.25","81.33974358974359","0"
"340103199302564","F","Arboriculturist","6","54","2745.26","50.83814814814815","0"
"6011652924285713","F","Tax inspector","6","79","5790.969999999999","73.30341772151898","0"
"5596347693144598","M","Engineer, petroleum","6","96","6353.149999999999","66.17864583333332","0"
"4181833256558613886","F","Surveyor, land/geomatics","6","66","5290.41","80.15772727272727","1"
"377026671291680","F","Investment analyst","6","54","3520.88","65.20148148148148","0"
"3559160581764413","M","Toxicologist","6","81","7179.9800000000005","88.64172839506173","0"
"213193596103206","M","Electrical engineer","6","98","8076.719999999999","82.41551020408163","0"
"3533742182628021","M","Materials engineer","6","41","2286.9","55.77804878048781","1"
"38295635583927","F","Warden/ranger","6","60","3918.64","65.31066666666666","0"
"4809701904914","F","Chemical engineer","6","67","7176.37","107.11","0"
"213161293389774","F","Teacher, primary school","6","79","5467.0999999999985","69.20379746835441","0"
"2248735346244816","M","Product/process development scientist","6","72","5983.6900000000005","83.10680555555557","0"
"3599237318576484","F","Insurance risk surveyor","6","44","2370.12","53.86636363636364","0"
"2252055259910912","M","Arts development officer","6","85","7047.6900000000005","82.914","0"
"4904681492230012","F","Comptroller","6","88","5745.9","65.29431818181818","0"
"6539653032686894","M","Soil scientist","6","28","2091.7799999999997","74.70642857142856","0"
"372520049757633","F","Ceramics designer","6","50","2875.61","57.5122","0"
"4914700582394237","M","Bookseller","6","33","1560.79","47.29666666666667","0"
"213173753804333","M","Doctor, general practice","6","80","5756.8","71.96000000000001","0"
"4601636330889","M","Tax adviser","7","30","1609.45","53.64833333333333","0"
"3562679455732797","F","Maintenance engineer","7","58","3409.1300000000006","58.77810344827587","0"
"30030380240193","M","Pharmacist, community","7","95","8475.52","89.21600000000001","0"
